Nome do Cidadão;Dias para Resposta;Pedido;Status do Pedido;Identidade de gênero;Cor;Estado 
Cidadão 72;130;Prezados,  Estou construindo a dissertação para a pós graduação que estou fazendo em GEOMARKETING E INTELIGÊNCIA DE MERCADO e gostaria de traçar o mapa dos custos com serviço de dados, os tipos de produtos contrataods, velocidades e os municípios que o órgão possui rede( os municípios são importantes para identificar o interesse de tráfego entre os órgãos e os pontos de troca de tráfegos nacionais mantidos pelo NIC.BR). Certo de poder contar com sua ajuda desde já agradeço. ;Acesso Concedido;Mulher Cisgênero;Parda;Maranhão (MA)
Cidadão 40;249;Gostaria de solicitar, com base na Lei de Acesso à Informação, dados relacionados à quantidade de leitos de UTI, de acordo com o que foi informado pelos seguintes municípios:  Campos Macaé Itaperuna São João da Barra Cabo Frio Petrópolis Nova Friburgo  Além disso, qual a taxa de ocupação de cada cidade e a data em que tal taxa foi informada pelos municípios no momento da consulta.  Solicito ainda que, conforme o  Art. 8o, § 3o da LAI 12.527/2011, as informações ora requisitadas sejam enviadas em formato Excel ou similar formato eletrônico de planilha.  Reforço também que tal solicitação se faz necessária porque, salvo engano, no Portal da Transparência não constam os dados acima requisitados. Caso tais informações já estejam disponíveis no Portal, requisito o local e a forma pela qual poderei consultar as informações, conforme o Art. 11o, § 6o, da LAI 12.527/2011. ;Acesso Negado;Homem Cisgênero;Preta;Goiás (GO)
Cidadão 41;132; Prezados,  Estou construindo a dissertação para a pós graduação que estou fazendo em GEOMARKETING E INTELIGÊNCIA DE MERCADO e gostaria de traçar o mapa dos custos com serviço de dados, os tipos de produtos contrataods, velocidades e os municípios que o órgão possui rede( os municípios são importantes para identificar o interesse de tráfego entre os órgãos e os pontos de troca de tráfegos nacionais mantidos pelo NIC.BR). Certo de poder contar com sua ajuda desde já agradeço.;Não se trata de solicitação de informação;Homem Cisgênero;Preta;São Paulo (SP)
Cidadão 42;189;Olá.   Gostaria de solicitar, para fins de pesquisa acadêmica, quais são os laboratórios farmacêuticos (empresas) do Chile e do Uruguai, autorizados pela ANVISA, para que pacientes realizem a importação de medicamentos à base de cannabis, e qual o teor de canabidiol (CBD) e tetrahidrocanabinol (THC) presentes em cada um dos produtos.   Além disso, requisito o número de solicitações realizadas à ANVISA para importação de medicamentos à base de cannabis nas cidades de Niterói, São Gonçalo e Itaboraí, todas estas do estado do Rio de Janeiro. Assim como, número de pedidos já autorizados, os negados e os em análise.  ;Acesso Concedido;Mulher Cisgênero;Parda;São Paulo (SP)
Cidadão 43;56;Gostaria de saber se é possível utilizar amido na formulação de néctares, refrescos e preparados líquidos para refrescos. ;Acesso Concedido;Mulher Cisgênero;Branca;Mato Grosso do Sul (MS)
Cidadão 44;190;Prezados, Boa noite. Me chamo Cássia, sou pesquisadora na UnB e venho por meio deste solicitar o detalhamento nas informações do Sistema Nacional de Cadastro Rural uma vez que embora consigo informações referente ao Código do Imóvel, denominação do imóvel, proprietário do imóvel, área em ha, o município que consta o imóvel, todos obtidos no link no seguinte links: https://sncr.serpro.gov.br/sncr-web/consultaPublica.jsf?windowId=dbb, INFELIZMENTE não consta o ano de registro/cadastro do imóvel. Já verifiquei em vários links e arquivos, shapes e realmente não encontro essa informação. Desde já, um muito obrigado! Att.;Não se trata de solicitação de informação;Homem Cisgênero;Parda;Minas Gerais (MG)
Cidadão 45;217;Meus respeitosos cumprimentos. Gostaria de saber, sobre planos e atuação do novo ministro da Saúde, o Dr. Nelson Teich, durante a atual crise pandêmica: 1) se o ministro ficará em sintonia com Sua Excelência o presidente da República na defesa do uso irrestrito de cloroquina como suposto tratamento para Covid-19, mesmo que não venha a surgir validação e amparo científico para tal, 2) se manterá recomendação oficial de isolamento social horizontal quando a ciência e a OMS o julgarem necessário, mesmo se isso significar ter de divergir, eventualmente, de visões do presidente Jair Bolsonaro, 3) que planos concretos estão em discussão para uma futura recomendação de relaxamento da quarentena. Meu agradecimento desde já pelas informações, e votos de êxito aos trabalhos do ministro e de toda a equipe da Saúde.;Órgão não tem competência para responder sobre o assunto;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 40;154;Prezados,  Para fins acadêmicos, gostaria, por favor, de obter acesso aos editais dos processos seletivos para cursos superiores dos anos de 2010, 2011, 2012, 2013 e 2014, que não foram possíveis de encontrar na internet. Dado que estou interessada na quantidade de vagas ofertadas pela instituição e potenciais políticas afirmativas adotadas nesses anos, seria importante que os editais contivessem o quadro de vagas. Além disso, caso a instituição tenha aderido ao SISU em algum desses anos, gostaria de obter também os termos de adesão ao sisu. Obrigada!;Não se trata de solicitação de informação;Homem Cisgênero;Preta;Goiás (GO)
Cidadão 41;47;Solicito histórico escolar do ensino médio e fundamental ;Órgão não tem competência para responder sobre o assunto;Homem Cisgênero;Preta;São Paulo (SP)
Cidadão 42;217;Venho por meio deste, solicitar o acesso ao contrato, seus anexos, e aditivos, para ser utilizado em licitações do próprio grupo PETROBRAS, com a finalidade de atender a requisitos de comprovação, conforme dados que seguem abaixo: Número do contrato: 5500.0105387.17.2 Parte contratante: Petróleo Brasileiro S.A. (Petrobras), Parte contratada: Accenture do Brasil Ltda, Data da celebração do contrato: 23/11/2017 Escopo do contrato: Prestação de serviço de consultoria para a elaboração de análises estratégicas e validação de estudos de competitividade para suportar à decisão e apoio ao programa de otimização de projetos de Libra em conformidade com os termos e condições nele estipulados e no Anexo I - Especificação dos Serviços. ;Não se trata de solicitação de informação;Mulher Cisgênero;Parda;São Paulo (SP)
Cidadão 43;236;Prezado,  O presidente realizou testes para o novo coronavirus, até então sem repercussão pública, invocado o direito ao sigilo do paciente. Entretanto, foram várias as vezes em que o senhor presidente teve contato direto com cidadãos,  sem, contudo, observar os parâmetros de segurança divulgados por este ministério.  Nesse sentido, diante da possibilidade de o presidente ter tido contato com terceiro e de ter, eventualmente, sido contaminado pelo novo coronavirus é imprescindível a divulgação do resultado de seus exames por questão de saúde pública. Ademais, por ser figura publica e autoridade máxima do país é oportuno que se conheça esses resultados. Pergunta-se ainda se o ônus para aquisição dos testes para o presidente foram  suportados pelos cofres públicos, em caso positivo, identifica-se outro motivo para trazer à luz tal informação.  Sem mais.;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;Mato Grosso do Sul (MS)
Cidadão 44;324;Meu nome é Francisco das Chagas de Lima, estudante do curso de Agronomia da Universidade Federal da Paraíba. Estou entrando em contato com vossa excelência para solicitar através de sua secretaria ou departamento, dados para um trabalho de iniciação científica da universidade. O trabalho de pesquisa tem como objetivo estudar a perda da produtividade agropecuária nas bacias do rio Paraná e rio São Francisco devido a eventos de seca na região visando os impactos econômicos, sociais e ambientais durante os últimos anos  nas referentes bacias hidrográficas.   Os dados que solicito para a pesquisa são dados de produtividade do município em todas as culturas no período de dez (10) anos ou cinco (5) anos. Estes dados serão cruzados com outros dados da pesquisa que já estão em andamento e que posteriormente terão sua divulgação nos mais diversos meios de comunicação como fonte de informação e aprendizado. Saliento que esta pesquisa tem o compromisso com a seriedade e que todos os dados fornecidos terão suas fontes citadas conforme a política do projeto. Desde já agradeço o esforço e o auxilio das informações e desejo sucesso a todos na gestão. ;Acesso Concedido;Homem Cisgênero;Parda;Minas Gerais (MG)
Cidadão 45;314;Meu nome é Francisco das Chagas de Lima, estudante do curso de Agronomia da Universidade Federal da Paraíba. Estou entrando em contato com vossa excelência para solicitar através de sua secretaria ou departamento, dados para um trabalho de iniciação científica da universidade. O trabalho de pesquisa tem como objetivo estudar a perda da produtividade agropecuária nas bacias do rio Paraná e rio São Francisco devido a eventos de seca na região visando os impactos econômicos, sociais e ambientais durante os últimos anos  nas referentes bacias hidrográficas.   Os dados que solicito para a pesquisa são dados de produtividade do município em todas as culturas no período de dez (10) anos ou cinco (5) anos. Estes dados serão cruzados com outros dados da pesquisa que já estão em andamento e que posteriormente terão sua divulgação nos mais diversos meios de comunicação como fonte de informação e aprendizado. Saliento que esta pesquisa tem o compromisso com a seriedade e que todos os dados fornecidos terão suas fontes citadas conforme a política do projeto. Desde já agradeço o esforço e o auxilio das informações e desejo sucesso a todos na gestão. No aguardo das informações.;Órgão não tem competência para responder sobre o assunto;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 36;339; Gostaria de solicitar, com base na Lei de Acesso à Informação, dados referentes ao auxílio emergencial de R$ 600 por conta da crise do Coronavírus na primeira quinzena de Abril, referentes a Campos, Macaé, São João da Barra, Itaperuna, Nova Friburgo, Cabo Frio, municípios do Estado do Rio.  Quantas pessoas tiveram o direito reconhecido para receberem o auxílio em cada cidade? Quantos no Estado? Quantos inscritos não foram habilitados em cada cidade? Quantos no Estado? Quantas mulheres chefe de família em cada cidade? Do total de beneficiados em cada cidade, quantos são do CadÚnico? Do total de beneficiados em cada cidade, quantos são MEI? Do total de beneficiados em cada cidade, quantos são trabalhadores informais?  Solicito ainda que, conforme o  Art. 8o, § 3o da LAI 12.527/2011, as informações ora requisitadas sejam enviadas em formato Excel ou similar formato eletrônico de planilha.  Reforço também que tal solicitação se faz necessária porque, salvo engano, no Portal da Transparência não constam os dados acima requisitados. Caso tais informações já estejam disponíveis no Portal, requisito o local e a forma pela qual poderei consultar as informações, conforme o Art. 11o, § 6o, da LAI 12.527/2011.;Não se trata de solicitação de informação;Mulher Cisgênero;Parda;Minas Gerais (MG)
Cidadão 37;84;Prezados, gostaria de ter informações a respeitos de pareceres produzidos pelo gabinete quanto a decisão do presidente Jair Bolsonaro de desrespeitar a indicação de isolamento social determinada pelo Ministério da Saúde.  Fico no aguardo o quanto antes. Att, Nelson.;Não se trata de solicitação de informação;Mulher Cisgênero;Amarela;Espírito Santo (ES)
Cidadão 18;112;Prezado(a)s, Gostaria de solicitar cópia do(s) processo(s) ou quaisquer atos praticados pelo Ministério da Educação que diga respeito ao processo de nomeação do REITOR do Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte (IFRN), para a gestão 2020-2024. Considerando os termos da legislação vigente, peço deferimento.;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 23;120;Por favor, com base na Lei nº 12.527/2011, que regulamenta o direito constitucional de acesso às informações públicas, solicito ter acesso a todos os estudos produzidos pelos departamentos científicos das Forças Armadas do Brasil que tratam do uso da cloriquina e da hidroxicloriquina no combate ao coronavírus.  Fico no aguardo o quanto antes. Att, Nelson.;Acesso Negado;Mulher Cisgênero;Branca;Paraíba (PB)
Cidadão 24;68;O orçamento financeiro vem do Governo Federal solicitado pela SESAI  para suprir as necessidades de manter a Saúde  Indígena , como é  feito esse trâmite?;Não se trata de solicitação de informação;Homem Cisgênero;Preta;Pernambuco (PE)
Cidadão 25;113;Por favor, com base na Lei nº 12.527/2011, que regulamenta o direito constitucional de acesso às informações públicas, solicito ter acesso a todos os procedimentos, recomendações e ofícios encaminhados pela agência, a partir de 20 de fevereiro de 2020, com recomendações aos governadores quanto as medidas a serem adotadas no combate ao coronavírus.  Fico no aguardo o quanto antes. Att, Nelson.;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;Rio Grande do Sul (RS)
Cidadão 26;204;"Considerando o término dos desligamentos do Plano de Aposentadoria Incentivada, prevista para o dia 16/04/2020, gostaria de saber qual o quantitativo atual de funcionários do BASA? sendo que a última atualização aconteceu no dia 31/03/2020, constando 2905 funcionários na época, considerando também um quantitativo relativamente alto de cargos vagos em decorrencia do ""PAI"" (sendo que a vacância está em crescente), especificamente 115 cargos vagos, levando em cosideração o teto atual de 3020 funcionários, gostaria de saber quantos cargos vagos serão repostos por intermédio de convocação dos aprovados do vigente concurso para o cargo de Técnico Bancário? e para quando está prevista essa convocação? haja vista que o concurso vigente se encerra no dia 02/07/2020.";Acesso Concedido;Homem Cisgênero;Branca;Minas Gerais (MG)
Cidadão 27;108;Gostaria que fosse detalhado os estudos técnicos que foram utilizados para formentar a alteração/criação das portarias 46, 60 e 61. Pois da forma que estão escritas inviabiliza a importação de PCE criando regras inexistentes no mundo e dificultando o direito ao livre mercado.;Acesso Concedido;Homem Cisgênero;Branca;Minas Gerais (MG)
Cidadão 28;99;A emissão de boletins epidemiológicos tem algum protocolo, aqui na minha cidade Cidreira/RS o boletim de 16/04 consta 1 caso confirmado houve um óbito e ele não aparece, no boletim de 15/04 consta 2 casos confirmados, com o óbito foi diminuído o caso de confirmado, está correto essa informação para os cidreirenses, em anexo  os 2 boletins.  ;Acesso Concedido;Homem Cisgênero;Branca;Paraíba (PB)
Cidadão 29;175;Solicito informar se o sistema de gestão de pessoal, criado para cadastrar os dados dos empregados, para fins de seletiva para função, possui:  1 - Limite de cursos a cadastrar ( quantitativo ), 2 - Limite temporal dos cursos, ou seja, os cursos serão migrados em sua totalidade do RH 24 horas para o novo sistema? 3 - O sistema limita em tamanho os arquivos? 4 - O sistema limita a quantidade de arquivos relativo a um curso, como por exemplo, quanto o certificado possui três páginas, ou três arquivos? 5 - O sistema impede a inclusão de arquivos que contenha nome de arquivos com acento, ç, etc? 6 - Os cursos internos serão migrados para o novo sistema?;Não se trata de solicitação de informação;Mulher Cisgênero;Preta;Minas Gerais (MG)
Cidadão 1;103;Gostaria de ter acesso aos dados do SIOPE para João Pessoa, Paraíba. No conjunto de dados (http://www.fnde.gov.br/index.php/fnde_sistemas/siope/relatorios/arquivos-dados-analiticos) Remuneração de Profissionais do Magistério da Paraíba – 2019  não há informações para João Pessoa. ;Acesso Concedido;Homem Cisgênero;Branca;São Paulo (SP)
Cidadão 2;116;Olá,  Gostaria de ter acesso aos materiais de divulgação do projeto Future-se, que informem seus objetivos, suas motivações e demais informações ligadas ao projeto e comunicadas de maneira oficial pelo Ministério da Educação. E, se possível, gostaria de informações além das que constam no site do MEC;Acesso Parcialmente Concedido;Mulher Cisgênero;Branca;Pernambuco (PE)
Cidadão 32;22;NAO CONSIGO TIRA MEU TITULO DE ELEITOR ;Acesso Concedido;Homem Cisgênero;Preta;Piauí (PI)
Cidadão 33;70;Prezados (as), boa noite.  Gostaria da informação se a estudante Alina Mourato Eleotério está com matrícula ativa e com frequência no programa de Doutorado Interinstitucional em Saúde Coletiva da UFES com a UFOB.  Obrigada.;Acesso Concedido;Homem Cisgênero;Branca;Paraíba (PB)
Cidadão 34;102;Levantamento de poços e equipamentos que tenham sido doados ou por intermédio da CODEVASF nos anos de 2018 e 2019 para os municípios de Tacaratu e Petrolândia bem como o nome das comunidades contempladas, certo de que esta solicitação sera atendida desde ja registro meus agradecimentos;Informação Inexistente;Homem Cisgênero;Parda;São Paulo (SP)
Cidadão 35;76;Gostaria de Saber junto ao Decanato de Administração e Decanato de Gestão de Pessoas. Quais são os direitos, deveres e obrigações detalhadas dos servidores que ocupam Cargos de Direção (  CD 03, 04 e FG 01, 02 e 03 ) conforme legislação vigente.;Acesso Concedido;Homem Cisgênero;Branca;Minas Gerais (MG)
Cidadão 36;405;"Meus respeitosos cumprimentos. Gostaria de ser informado sobre se o novo ministro da Saúde, Sua Excelência Nelson Teich, durante sua atuação no ministério, tanto na crise pandêmica quanto após ela, se tem planos de manter o entendimento que, ao menos a princípio, parece ser inferível de declaração dele que circula na imprensa, proferida em encontro de oncologia em 2019: “Você vai ter que fazer escolhas. Então você vai ver no que você vai investir. Então se eu tenho uma pessoa que é mais idosa, com idade mais avançada e para ela melhorar eu vou gastar o mesmo dinheiro que com um adolescente que vai ter a vida inteira pela frente e a outra é uma pessoa idosa, qual vai ser a escolha?”. Essa mentalidade será aplicável na nova direção da Saúde no país? Ou se trata de fake news ou de fala tirada de contexto? Desejo, ainda, saber se a afirmação do primeiro pronunciamento público do ministro, de que ""Existe um alinhamento completo aqui entre mim e o presidente e todo o grupo do ministério"", significa literalmente o que parece enunciar a sentença, mesmo que isso eventualmente implique, em situação futura, ter que fazer escolhas ou recomendações não científicas ou mesmo anticientíficas para atender a alguma visão particular emanada do Planalto. O ministro prevê que estará disposto a isso na condução de seu trabalho? Desde já o meu agradecimento. E votos de êxito ao novo ministro e à sua pasta. Que possamos vencer, o quanto antes, a presente crise, em nosso território nacional e no mundo.";Não se trata de solicitação de informação;Mulher Cisgênero;Parda;Minas Gerais (MG)
Cidadão 37;75;Por gentileza solicito a liberação de acesso via SEI ao Processo FUNAI 08620.016935/2017-79 por meio do meu email adrianoarrepia@gmail.com ;Não se trata de solicitação de informação;Mulher Cisgênero;Amarela;Espírito Santo (ES)
Cidadão 18;211;Prezados senhores,  requeiro a evidenciação da despesa pública realizada na contratação de Augusto Cury para ministrar palestra aos servidores do Ministério da Justiça e Segurança Pública, com a devida demonstração da fonte de receita e indicação do programa a qual o gasto está associado. Peço ainda, informações sobre os serviços de psicologia mantido por esse ministério e entes subordinados: DEPEN, DPF, DPRF, indicando o número de profissionais de psicologia disponíveis no quadro funcional, alocação orçamentária para o respectivo grupo de profissionais, modalidades de campanhas realizadas com o enfoque ao bem-estar dos servidores da área de segurança, quantidade de atendimentos realizados nos últimos 10 anos e as modalidades de distúrbios tratados. Atenciosamente,  ;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 19;497;Prezados fiz um questionamento pelo protocolo 25820.002235/2020-65, onde me foi respondido ao meu questionamento que as gorduras vegetais não estariam contempladas no artigo 5 desta RDC.   Eu estou confusa porque a gordura vegetal hidrogenada é a maior fonte de gorduras trans nos alimentos, visto ser um ingrediente utilizado em grande escala. Entendo da tecnologia, que os óleos refinados possuem uma quantidade pequena de gorduras trans pelo processo de desodorização ao que são submetidos, porém é infinitamente pequeno comparado com um óleo que foi submetido ao processo de hidrogenação, o qual dá origem a gordura vegetal hidrogenada. Embora se defina na RDC 332 os gorduras, não há, nas limitações da RDC, nenhuma para as gorduras vegetais hidrogenadas, conforme me foi respondido. III - óleos e gorduras parcialmente hidrogenados: são todos os óleos e gorduras submetidos ao processo de hidrogenação e que possuem um índice de iodo superior a 4 (quatro),  Não encontrei na legislação o que é óleos refinados, porém e encontrei no MAPA uma definição de refino, vejamos: Na IN 49 do MAPA de 2006 está - 2.14. Refino: etapas de tratamento que incluem degomagem, neutralização, clarificação e desodorização para tornar o óleo comestível. E sabemos do processo que, se entre a clarificação e a desodorização, inserir a hidrogenação então teremos a Gordura Vegetal hidrogenada, e é justamente nesta hidrogenação que há alta produção de isômeros trans. Tanto o óleo refinado como a gordura passam pela última etapa que é a desodorização. Por ser feita a temperaturas altas, esta etapa também gera trans, mas não tanto quanto a hidrogenação.  Por isso pergunto e porque não entendo, se o artigo 5 se aplica à gorduras vegetais hidrogenadas e se não se aplica qual o motivo, se são uma grande fonte de gorduras trans nos alimentos industrializados e 2023 está longe. Também faltaria definir o que é óleo refinado, nesta legislação.  Gratidão;Acesso Concedido;Homem Cisgênero;Branca;São Paulo (SP)
Cidadão 72;81;Quero saber o porquê de não ter saído a resposta da minha análise. Só fica analisando e já deu o prazo dos 5 dias úteis. Fiz o cadastro no dia 07/04/2020 e hoje dia 16/04/2020 às 20h17 não tinha sido analisado ainda. Estou desempregada e precisando muito desse dinheiro.;Acesso Concedido;Mulher Cisgênero;Parda;Maranhão (MA)
Cidadão 42;144;Prezados,  Solicitamos informação sobre campanhas antigas de divulgação estatal: queremos saber se existe o registro de campanhas antigas, pois estamos realizado um documentário no qual gostaríamos de usar um trecho da seguinte campanha: https://www.youtube.com/watch?v=2WfChfvOO4I  Queremos saber se existe um acervo que guarde esses videos estatais/institucionais, se podemos ter acesso a ele e como podemos solicitar trechos em melhor qualidade.  Muito obrigado.;Não se trata de solicitação de informação;Mulher Cisgênero;Parda;São Paulo (SP)
Cidadão 43;74;Informação sobre o andamento do processo de emissão da AFE ( Processo Nr. 25752212251202015 ) e número de Transação : 2420942020, sendo a HMS Brasil Agenciamentos Marítimos EIRELI parte interessada da qual sou o representante legal da empresa.;Acesso Parcialmente Concedido;Mulher Cisgênero;Branca;Mato Grosso do Sul (MS)
Cidadão 44;73;Olá! Gostaria de ter acesso a uma lista/levantamento de todos os arrendatários dos portos do país, separados por porto. Seria possível? Grata.;Não se trata de solicitação de informação;Homem Cisgênero;Parda;Minas Gerais (MG)
Cidadão 45;82;Sou portador de câncer colorretal e precido de medicações antineplasicas de alto custo não tento dinheiro para aquisição destas medicações peço ajuda . O posto de saude me negou estas medicações ;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 46;202;Boa tarde, meu nome é Arcelo, aluno do programa de mestrado em economia da Universidade Federal da Integração Latino-Americana. Estou trabalhando alguns dados dos municípios do Paraná e ao consultar as estatísticas do INSS no site não encontrei algumas informações. Assim, para dar sequência em minha pesquisa preciso dos seguintes dados: i) número de auxílios doença acidentário concedidos nos anos de 1998, 2006 e 2018 e, ii) número de auxílios doença comum concedidos nos anos de 1998, 2006 e 2018. Preciso dos dados para cada município paranaense, Paraná e Brasil. Certo da atenção, fico a disposição para eventuais esclarecimentos e no aguardo de retorno.;Acesso Concedido;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 1;403;bom dia,  querido, estou bastante preocupado! algum funcionário da embrapa fez alteralções na folha de pagamentos entre do dia 15.04.2020 e dia 16.04.2020, gostaria de saber qual o nome deste funcionário, pois, retirou deliberadamente o desconto do plano de saúde da casembrapa e a minha parte, retirou o valor do consignado da caixa,  e, duplicou o valor da reserva técnica do e-social. quero, estas rubricas novamente no meu contracheque@! Por gentileza, ontem, até ontem a minha prévia era de R$ 2.300,00 reais, li líquido, hoje, para minha surpresa o meu contracheque estava totalmente mudado! alguém alterou totalmente meu contracheque e o líquido foi pra R$ 300,00!! primeiro, retiram todos os descontos do plano de saúde. PSAUDE AUTOGESTAO-CASEMBRAPA ?? como pagarei o plano de saúde?? segundo:  RUBRICA TECNICA-DESCONTOS que o valor éra de R$ 2.252,08 foi para R$ 4.504,15  a parcela do consignado da caixa sumiu do contracheque!!  inclusive, usaram desta rubrica para cubrir parcela de empréstimos, que o fundo não é para isto!! por fim, o relato:  e, os descontos do plano de saúde, e, minha parte estavam no contracheque retiram!! e a parcela do consignado da caixa sumiram.. .alguém alterou... hoje, não aparecem mais. alguém mudou meu contracheque. e, o pior a reserva técnica do e-social que eram dividia em 5 parcelas vieram as duas ultimas juntas, e, de 2300 reais caiu para 300 reais meu liquido. como vou sobreviver?? preciso de ajuda. geraldo 998252311;Acesso Concedido;Homem Cisgênero;Branca;São Paulo (SP)
Cidadão 2;27;FIZ UM PEDIDO DE ISENÇÃO DE INSCRIÇÃO DO ENEM E ESPERO RESPOSTA;Acesso Parcialmente Concedido;Mulher Cisgênero;Branca;Pernambuco (PE)
Cidadão 3;46;PEDIDO DE ISENÇÃO DE INSCRIÇÃO DO ENEM 2020;Acesso Concedido;Homem Cisgênero;Branca;Paraíba (PB)
Cidadão 4;85;Boa  noite sobre estúdios de tatuagem, não li nada sobre o assunto de como fica abertura dos estúdio, e os risco sobre a covid 19, se os estabelecimentos pode trabalhar ou não, o que diz a Anvisa sobre isso.;Acesso Negado;Mulher Cisgênero;Parda;Minas Gerais (MG)
Cidadão 5;125;Fiz o requerimento do meu seguro desemprego,consta no sistema que meu nome,nome da minha mãe e minha fata de nascimento está errada. Isso está me deixando em dúvida se está errado meus dados ou se está trancado minha solicitação que foi feita no dia 09/04. Por favor peço urgencia na resposta,já que o sine não está funcionando e nem no aplicativo consigo entrar. ;Acesso Concedido;Homem Cisgênero;Parda;Pernambuco (PE)
Cidadão 52;85;Gostaria de solicitar o envio de todos os ofícios e memorandos emitidos pela SRD que tenham tido como tema a Resolução Normativa 482 (REN 482), no período de 19 de abril de 2019 de a 16 de abril de 2020.;Não se trata de solicitação de informação;Mulher Cisgênero;Parda;Rio Grande do Norte (RN)
Cidadão 53;42;solicitação sobre o meu ;Pergunta Duplicada/Repetida;Homem Cisgênero;Pardo;Bahia (BA)
Cidadão 54;83;Ola, fiz meu Passaporte e o mesmo ficou pronto em março. Possuo um prazo de 90 diss para retirar o documento. Porém, receio que não consiga pegar caso a quarentena não acabe. Por gentileza, poderiam me ajudar? Obrigado!;Acesso Negado;Homem Cisgênero;Parda;São Paulo (SP)
Cidadão 36;234;Olá. Sou aluno do PPG em Direito (Mestrado) da UFPel e estou em fase de elaboração da minha tese de dissertação, que versa sobre ações afirmativas e o Programa Bolsa Família. Uma das fases da pesquisa envolve uma entrevista semi-estruturada com alunos cotistas e beneficiários do Programa Bolsa Família. Gostaria, portanto, de obter autorização para efetuar uma entrevista semi-estruturada com alunos que tenham ingressado na Universidade através de cotas raciais e, em adição a isto, que tenham sido - ou ainda sejam - beneficiários do Programa Bolsa Família. Gostaria, ainda, de obter uma lista com alguns alunos que se encaixem nas circunstâncias informadas, para que eu possa entrar em contato e entrevistá-los. Anexo, consta meu projeto de dissertação já qualificado em março desse ano. Desde já, agradeço. Saudações.;Não se trata de solicitação de informação;Mulher Cisgênero;Parda;Minas Gerais (MG)
Cidadão 37;92;"Gostaria de ter acesso aos projetos que possuem o termo ""COVID-19"" como palavra-chave ou foco. Se possível, com a quantidade de bolsas e auxílio de pesquisa científica relacionadas ao novo Corona vírus. O objetivo é realizar um mapeamento de como foi a evolução na submissão de projetos relacionados ao novo vírus.";Não se trata de solicitação de informação;Mulher Cisgênero;Amarela;Espírito Santo (ES)
Cidadão 18;251;Prezados(a)s, Considerando que o o pedido de acesso informação, solicitado através do protocolo 23480008879202030 foi equivocadamente remetido ao IFRN, solicito, mais uma vez, informações sobre o processo de nomeação do Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte (IFRN), uma vez que os autos do referido processo estão no Ministério da Educação, conforme é possível consultar no link https://protocolointegrado.gov.br/Protocolo/documento/detalhes_documento.jsf?protocolo=23421002577201919, disponível no protocolo integrado. Para ajudar na busca, informo o número do processo no MEC: 23421002577201919. Dessa forma solicito inteiro teor do processo mencionado, bem como o inteiro teor de quaisquer processos vinculados a solicitação em tela. Reforço que abri novo pedido, uma vez que como o processo está no MEC, em nada o IFRN poderá ajudar na resposta a presente solicitação. Obrigado pela atenção.;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 19;165;Uma má estimativa de consumo leva ao desperdício de recursos. Pensando nisso, gostaria de aplicar métodos de predição para evitar o desperdício de alimento nos restaurantes universitários, com foco inicial na UNIFESP de São José dos Campos. Para isso, solicito o extrato do consumo no restaurante universitário da UNIFESP de São José dos Campos de pelo menos dos últimos 3 anos (2016, 2017 e 2018), contendo a data e horário do ticket utilizado, quantidade e refeição (almoço ou janta) .   Se possível, incluir dados do usuário, como por exemplo, sexo e idade, pois podem ajudar na predição.;Acesso Concedido;Homem Cisgênero;Branca;São Paulo (SP)
Cidadão 27;140;Por mês, entre janeiro de 2009 e março de 2020, quanto (em reais) o Ministério de Desenvolvimento Regional investiu no programa Minha Casa Minha Vida (valor das contratações realizadas no período), quantas unidades foram efetivamente entregues e em qual Município fica cada Unidade contratada nesse período? (Separar os dados por mês, por número de unidades contratadas, por unidades entregues e por Município.);Acesso Concedido;Homem Cisgênero;Branca;Minas Gerais (MG)
Cidadão 28;39;Gostaria de poder ver meu cadastro unico realizado no Cras do bairro Retiro Localizado na cidade de Volta Redonda RJ;Acesso Concedido;Homem Cisgênero;Branca;Paraíba (PB)
Cidadão 61;63;QUERO PAGAR MEU CARNE Q VENCEU DIA 15/04/2020  AMANHÃ... QUANTO DE JURO DEVO PAGAR???  OBRIGADO...;Não se trata de solicitação de informação;Mulher Cisgênero;Amarela;Pernambuco (PE)
Cidadão 18;132;Boa noite! Venho através dessa solicitação sobre o auxílio emergencial deste o início se encontra em análise ,sendo que sou MEI estou sem serviço e renda pois tenho duas crianças em casa e necessito muito ,estou preocupada pois esqueci de colocar o CPF das minhas dependente estou a disposição para qualquer informação ou comprovação da minha necessidade, desde já agradeço e peço desculpas pois não sei se esse canal poderá me ajudar.;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;São Paulo (SP)
